day;App/Site Domain Name;Gross Revenue;impressions;Estimated Net Revenue
2023-12-02T00:00:00;recipesdirect.com;2.969090;689;2.375272
2023-12-02T00:00:00;cookingprofessionally.com;2.174641;419;1.739713
2023-12-07T00:00:00;nowtoronto.com;0.400297;393;0.320238
2023-12-07T00:00:00;www.shmoop.com;0.235576;156;0.188461
2023-12-07T00:00:00;funnyeditor.com;0.116546;25;0.093237
2023-12-07T00:00:00;www.andysautosport.com;0.640370;385;0.512296
2023-12-07T00:00:00;www.marunadanmalayalee.com;0.809255;2505;0.647404
2023-12-19T00:00:00;popctrivia.com;0.027814;1;0.022251
2023-12-19T00:00:00;kookmutsjes.com;2.782717;3069;2.226174
2023-12-19T00:00:00;www.elections.in;0.001127;11;0.000902
2023-12-11T00:00:00;taxguru.in;0.658038;1428;0.526430
2023-12-11T00:00:00;wordthirst.com;0.288617;157;0.230894
2023-12-11T00:00:00;glamourfame.com;0.085597;56;0.068478
2023-12-11T00:00:00;texashillcountry.com;0.207764;79;0.166211
2023-12-03T00:00:00;m.thewire.in;0.381211;160;0.304969
2023-12-03T00:00:00;calcsimple.com;0.118800;71;0.095040
2023-12-03T00:00:00;mamascooking.com;1.517317;328;1.213854
2023-12-15T00:00:00;www.golaurens.com;1.040523;577;0.832418
2023-12-15T00:00:00;www.britishmalayali.co.uk;0.107940;224;0.086352
2023-12-15T00:00:00;epaper.freepressjournal.in;0.007501;14;0.006001
2023-12-16T00:00:00;mybaseguide.com;0.007277;4;0.005822
2023-12-16T00:00:00;mamascooking.com;1.209908;218;0.967926
